id,imdb_id,budget,revenue,genre_names,original_title,runtime,status,countries,title,original_language,avg_vote,vote_count,popularity,genres,year,90s,00s,10s,Drama,Thriller,Romance,Adventure,Action,History,Comedy,Mystery,Fantasy,Animation,Family,Crime,War,Science Fiction,Horror,Music,Western,TV Movie,profit,profit_margin
892,tt0101700,4000000.0,1794187.0,"['Comedy', 'Science Fiction', 'Fantasy']",Delicatessen,99.0,Released,['France'],Delicatessen,French,7.4,717,14.514,"[35, 14, 878]",1991,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-2205813.0,-122.9
902,tt0112682,18000000.0,1781465.0,"['Fantasy', 'Science Fiction', 'Adventure']",La Cité des Enfants Perdus,108.0,Released,"['Germany', 'Belgium', 'Spain', 'United States of America', 'France']",The City of Lost Children,French,7.5,574,15.187,"[12, 14, 878]",1995,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-16218535.0,-910.4
979,tt0290673,,6479328.0,"['Drama', 'Thriller', 'Crime', 'Mystery']",Irréversible,93.0,Released,['France'],Irreversible,French,7.2,1298,21.575,"[18, 53, 80, 9648]",2002,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
1023,tt0418455,3700000.0,2421577.0,"['Drama', 'Comedy', 'Crime']",Adams æbler,94.0,Released,"['Denmark', 'Germany']",Adam's Apples,Danish,7.5,369,11.459,"[18, 35, 80]",2005,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1278423.0,-52.8
1075,tt0118843,,351447.0,"['Comedy', 'Romance']","Crna mačka, beli mačor",127.0,Released,"['Serbia', 'Romania', 'Germany', 'Austria', 'France']","Black Cat, White Cat",Serbian,7.8,364,10.261,"[35, 10749]",1998,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
1254,tt0485241,,6334790.0,['Drama'],"Je vais bien, ne t'en fais pas",96.0,Released,['France'],"Don't Worry, I'm Fine",French,7.3,381,9.588,[18],2006,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1255,tt0468492,11000000.0,89433436.0,"['Horror', 'Drama', 'Science Fiction']",괴물,120.0,Released,['South Korea'],The Host,Korean,6.9,1321,21.884,"[18, 27, 878]",2006,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,78433436.0,87.7
1280,tt0423866,,3403957.0,"['Drama', 'Romance', 'Crime']",빈집,88.0,Released,"['South Korea', 'Japan']",3-Iron,Korean,7.8,579,11.149,"[80, 18, 10749]",2004,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
1364,tt0254455,,7640680.0,"['Drama', 'Romance']",Lucía y el sexo,128.0,Released,"['Spain', 'France']",Sex and Lucía,Spanish,6.6,272,12.273,"[18, 10749]",2001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1391,tt0245574,5000000.0,33616692.0,"['Drama', 'Romance']",Y tu mamá también,106.0,Released,['Mexico'],Y Tu Mamá También,Spanish,7.4,725,15.973,"[18, 10749]",2001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28616692.0,85.1
1407,tt0450188,,86274793.0,"['Music', 'Drama']",La Môme,140.0,Released,"['Czech Republic', 'France', 'United Kingdom']",La Vie en Rose,French,7.5,981,12.376,"[18, 10402]",2007,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
1417,tt0457430,19000000.0,83850267.0,"['Fantasy', 'Drama', 'War']",El laberinto del fauno,118.0,Released,"['Mexico', 'Spain', 'United States of America']",Pan's Labyrinth,Spanish,7.7,6955,29.867,"[18, 14, 10752]",2006,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,64850267.0,77.3
1433,tt0256009,4500000.0,6582065.0,"['Fantasy', 'Drama', 'Horror', 'Thriller']",El espinazo del diablo,108.0,Released,"['Spain', 'Mexico']",The Devil's Backbone,Spanish,7.3,624,10.853,"[18, 14, 27, 53]",2001,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2082065.0,31.6
1494,tt0473444,45000000.0,78568977.0,"['Action', 'Drama', 'Fantasy']",滿城盡帶黃金甲,114.0,Released,"['China', 'Hong Kong']",Curse of the Golden Flower,Chinese,6.7,403,15.187,"[28, 18, 14]",2006,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33568977.0,42.7
1553,tt0411270,,11757109.0,"['Music', 'Drama', 'Crime']",De battre mon cœur s'est arrêté,107.0,Released,['France'],The Beat That My Heart Skipped,French,7.0,236,7.276,"[80, 18, 10402]",2005,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,
1555,tt0283900,5300000.0,33272835.0,"['Drama', 'Comedy', 'Romance']",L'Auberge espagnole,122.0,Released,"['France', 'Spain']",The Spanish Apartment,French,7.2,633,9.664,"[35, 18, 10749]",2002,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27972835.0,84.1
1567,tt0157016,,,"['Drama', 'Thriller']",Seul contre tous,89.0,Released,['France'],I Stand Alone,French,7.6,232,9.501,"[18, 53]",1998,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1600,tt0101765,,2155121.0,"['Drama', 'Thriller']",La double vie de Véronique,98.0,Released,"['France', 'Norway', 'Poland']",The Double Life of Véronique,French,7.7,342,10.317,"[18, 53]",1991,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1653,tt0318462,,57663224.0,['Drama'],Diarios de motocicleta,126.0,Released,"['Brazil', 'Argentina', 'Chile', 'France', 'Germany', 'Peru', 'United Kingdom', 'United States of America']",The Motorcycle Diaries,Spanish,7.4,710,15.414,[18],2004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1791,tt0254686,3000000.0,6765335.0,"['Drama', 'Romance']",La Pianiste,131.0,Released,"['Germany', 'Austria', 'France']",The Piano Teacher,French,7.3,496,13.978,"[18, 10749]",2001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3765335.0,55.7
1826,tt0409184,13000000.0,23727301.0,"['Comedy', 'Drama', 'Romance']",Les Poupées Russes,129.0,Released,"['France', 'United Kingdom']",Russian Dolls,French,6.8,380,8.009,"[35, 18, 10749]",2005,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10727301.0,45.2
