id,title,original_language,avg_vote,vote_count,popularity,genres,release_date,adult
872,Singin' in the Rain,en,8.2,1692,22.094,"[35, 10402, 10749]",1952-04-09,False
833,Umberto D.,it,8.2,287,10.852,[18],1952-01-20,False
780,The Passion of Joan of Arc,fr,8.2,413,13.337,"[18, 36]",1928-04-21,False
538362,On My Skin,it,8.2,1339,15.958,[18],2018-08-29,False
19542,The Red Shoes,en,8.2,279,9.881,"[18, 10749]",1948-07-20,False
16869,Inglourious Basterds,en,8.2,14237,36.211,"[18, 28, 53, 10752]",2009-08-18,False
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,en,8.2,3301,23.694,"[18, 35, 10752]",1964-01-29,False
500,Reservoir Dogs,en,8.2,8849,29.098,"[80, 53]",1992-09-02,False
515001,Jojo Rabbit,en,8.2,2995,58.793,"[35, 18, 10752]",2019-10-18,False
14696,Ugetsu,ja,8.1,240,10.9,"[14, 18, 9648]",1953-03-26,False
282848,Doctor Who: The Time of the Doctor,en,8.1,205,9.459,"[18, 878, 10770]",2013-12-25,False
147,The 400 Blows,fr,8.1,988,12.255,[18],1959-05-04,False
98,Gladiator,en,8.1,11376,36.437,"[28, 12, 18]",2000-05-01,False
28978,The Circus,en,8.1,354,8.939,"[35, 10749]",1928-01-06,False
359940,"Three Billboards Outside Ebbing, Missouri",en,8.1,6469,25.578,"[80, 18]",2017-11-10,False
11645,Ran,ja,8.1,720,16.493,"[28, 18, 36]",1985-06-01,False
1422,The Departed,en,8.1,9325,39.226,"[18, 53, 80]",2006-10-05,False
100,"Lock, Stock and Two Smoking Barrels",en,8.1,3821,14.213,"[35, 80]",1998-03-05,False
334543,Lion,en,8.1,4525,32.688,[18],2016-11-24,False
149871,The Tale of the Princess Kaguya,ja,8.1,822,17.601,"[16, 18, 14]",2013-11-23,False
527641,Five Feet Apart,en,8.1,2135,39.313,"[18, 10749]",2019-03-15,False
832,M,de,8.1,1055,17.669,"[28, 80, 18, 53]",1931-05-11,False
111,Scarface,en,8.1,6535,44.069,"[28, 80, 18, 53]",1983-12-08,False
50014,The Help,en,8.1,4567,13.021,[18],2011-08-09,False
19426,Nights of Cabiria,it,8.1,321,11.134,[18],1957-10-03,False
11324,Shutter Island,en,8.1,14977,40.441,"[18, 9648, 53]",2010-02-14,False
449176,"Love, Simon",en,8.1,3923,17.903,"[35, 18, 10749]",2018-02-16,False
289,Casablanca,en,8.1,3017,25.454,"[18, 10749]",1942-01-23,False
606856,Togo,en,8.1,464,40.602,"[12, 18]",2019-12-19,False
92321,Hotarubi no Mori e,ja,8.1,341,0.6,"[16, 14, 10749]",2011-09-17,False
1059,The Hidden Fortress,ja,8.1,252,11.248,"[28, 12, 35, 18]",1958-12-28,False
857,Saving Private Ryan,en,8.1,9899,45.139,"[18, 36, 10752]",1998-07-24,False
11712,Sanjuro,ja,8.1,265,9.323,"[18, 28, 35]",1962-01-01,False
961,The General,en,8.1,546,17.485,"[28, 12, 35]",1926-12-31,False
160885,Tel chi el telùn,it,8.1,249,6.404,[35],2009-03-01,False
92060,Michael Jackson's Thriller,en,8.1,280,8.692,"[27, 10402]",1983-11-14,False
603,The Matrix,en,8.1,16573,55.492,"[28, 878]",1999-03-30,False
12761,Autumn Sonata,sv,8.1,204,9.863,[18],1978-10-08,False
843,In the Mood for Love,cn,8.1,1045,20.664,"[18, 10749]",2000-05-22,False
2517,Nobody Knows,ja,8.1,204,10.224,[18],2004-08-07,False
655,"Paris, Texas",en,8.1,729,14.433,[18],1984-05-19,False
7345,There Will Be Blood,en,8.1,3595,25.962,[18],2007-12-28,False
654,On the Waterfront,en,8.1,808,14.314,"[80, 18]",1954-06-22,False
600,Full Metal Jacket,en,8.1,6245,27.522,"[18, 10752]",1987-06-26,False
8392,My Neighbor Totoro,ja,8.1,4248,50.41,"[16, 14, 10751]",1988-04-16,False
489,Good Will Hunting,en,8.1,7074,27.679,[18],1997-12-05,False
264644,Room,en,8.1,6368,22.986,"[18, 53]",2015-10-16,False
42229,A Special Day,it,8.1,318,8.722,"[18, 10749]",1977-08-11,False
666,Central Station,pt,8.1,387,9.412,[18],1998-11-20,False
324786,Hacksaw Ridge,en,8.1,7779,36.26,"[18, 36, 10752]",2016-10-07,False
12445,Harry Potter and the Deathly Hallows: Part 2,en,8.1,13355,53.823,"[12, 14]",2011-07-07,False
10242,What Ever Happened to Baby Jane?,en,8.1,530,10.061,"[18, 27, 53]",1962-10-31,False
110416,Song of the Sea,en,8.1,816,12.772,"[16, 14, 10751]",2014-09-06,False
237791,The Way He Looks,pt,8.1,652,10.367,"[18, 10749]",2014-03-28,False
307,"Rome, Open City",it,8.1,391,10.224,"[18, 36]",1945-09-27,False
310569,The Second Mother,pt,8.1,431,9.462,[18],2015-02-08,False
46738,Incendies,fr,8.1,1241,14.597,"[18, 10752, 9648]",2010-09-04,False
378108,In This Corner of the World,ja,8.1,242,11.763,"[18, 16, 10749, 10752, 36]",2016-11-12,False
387,Das Boot,de,8.1,1125,19.414,"[18, 36, 10752]",1981-09-16,False
348,Alien,en,8.1,8792,44.738,"[27, 878]",1979-05-25,False
1955,The Elephant Man,en,8.1,1811,17.654,"[18, 36]",1980-10-02,False
18438,Castaway on the Moon,ko,8.1,345,9.216,"[18, 35, 10749]",2009-05-14,False
10997,Farewell My Concubine,zh,8.1,236,17.097,[18],1993-09-16,False
3090,The Treasure of the Sierra Madre,en,8.1,575,13.209,"[12, 18, 37]",1948-01-15,False
38,Eternal Sunshine of the Spotless Mind,en,8.1,8993,30.393,"[878, 18, 10749]",2004-03-19,False
582,The Lives of Others,de,8.1,2052,20.608,"[18, 53]",2006-03-15,False
68718,Django Unchained,en,8.1,17923,41.528,"[18, 37]",2012-12-25,False
110,Three Colors: Red,fr,8.1,631,13.444,"[18, 9648, 10749]",1994-05-27,False
406,La Haine,fr,8.1,1887,18.283,[18],1995-05-31,False
821,Judgment at Nuremberg,en,8.1,363,10.7,"[18, 36]",1961-12-01,False
8422,Rocco and His Brothers,it,8.1,231,9.848,"[80, 18]",1960-10-06,False
11423,Memories of Murder,ko,8.1,1432,31.241,"[80, 18, 53]",2003-05-02,False
7347,Elite Squad,pt,8.1,1159,11.429,"[28, 80, 18]",2007-10-12,False
9277,The Sting,en,8.1,1330,17.986,"[35, 80, 18]",1973-12-25,False
1394,Nostalgia,ru,8.1,233,10.31,"[18, 10749]",1983-05-01,False
204,The Wages of Fear,fr,8.1,399,11.615,"[18, 53, 12]",1953-04-21,False
15,Citizen Kane,en,8.1,2945,23.827,"[18, 9648]",1941-04-30,False
103663,The Hunt,da,8.1,1912,26.518,[18],2012-09-24,False
37165,The Truman Show,en,8.1,11025,28.911,"[35, 18]",1998-06-04,False
62,2001: A Space Odyssey,en,8.1,6977,38.592,"[12, 9648, 878]",1968-04-09,False
205596,The Imitation Game,en,8.1,11768,43.376,"[18, 36, 53, 10752]",2014-11-14,False
11104,Chungking Express,cn,8,627,17.811,"[18, 35, 10749]",1994-07-14,False
140420,Paperman,en,8.1,1232,10.141,"[16, 10749, 10751]",2012-11-02,False
360814,Dangal,hi,8.1,426,14.562,"[18, 28]",2016-12-21,False
20271,Divorce Italian Style,it,8,201,7.414,[35],1961-12-20,False
1092,The Third Man,en,8,934,16.94,"[53, 9648]",1949-08-31,False
15383,Army of Shadows,fr,8,293,11.618,"[18, 53, 10752]",1969-09-10,False
29264,The Exterminating Angel,es,8,317,12.265,"[35, 18, 14]",1962-05-16,False
10404,Raise the Red Lantern,zh,8,333,12.043,[18],1991-12-20,False
12104,Pink Floyd: The Wall,en,8,766,14.712,[10402],1982-07-14,False
11778,The Deer Hunter,en,8,2089,23.448,"[18, 10752]",1978-12-08,False
120467,The Grand Budapest Hotel,en,8,9387,35.715,"[35, 18]",2014-02-26,False
595,To Kill a Mockingbird,en,8,1508,16.739,"[80, 18]",1962-12-25,False
14,American Beauty,en,8,7721,32.429,[18],1999-09-15,False
28971,Limelight,en,8,240,7.327,"[35, 18, 10749]",1952-10-31,False
17295,The Battle of Algiers,it,8,349,11.147,"[18, 36, 10752]",1966-09-08,False
3777,Throne of Blood,ja,8,368,16.827,"[18, 36]",1957-01-15,False
641,Requiem for a Dream,en,8,6004,10.056,"[80, 18]",2000-10-06,False
498249,Bad Seeds,fr,8,317,9.327,[35],2018-11-21,False
38286,Tre Uomini e una Gamba,it,8,1366,8.614,[35],1997-12-27,False
662,La Jetée,fr,8,382,10.569,"[878, 10749]",1962-02-16,False
522924,The Art of Racing in the Rain,en,8,212,15.888,"[35, 18, 10749]",2019-08-08,False
3083,Mr. Smith Goes to Washington,en,8,533,12.816,"[35, 18]",1939-10-19,False
1580,Rope,en,8,1355,18.571,"[80, 53]",1948-08-26,False
938,For a Few Dollars More,it,8,2142,23.084,[37],1965-12-18,False
522212,Just Mercy,en,8,517,92.631,[18],2019-12-25,False
32085,Vincent,en,8,526,8.505,"[16, 14]",1982-01-01,False
424694,Bohemian Rhapsody,en,8,10595,35.874,"[18, 10402]",2018-10-24,False
10238,Cries and Whispers,sv,8,301,12.043,[18],1972-12-21,False
521,Dial M for Murder,en,8,1347,29.587,"[80, 53, 18, 9648]",1954-05-29,False
9702,Bound by Honor,en,8,255,13.351,"[28, 80, 18, 53]",1993-02-05,False
15244,A Man Escaped,fr,8,204,8.372,"[18, 53, 10752]",1956-11-11,False
962,The Gold Rush,en,8,768,11.835,"[12, 35, 18]",1925-06-25,False
279,Amadeus,en,8,2424,18.421,"[18, 36, 10402]",1984-09-06,False
3175,Barry Lyndon,en,8,1420,28.84,"[18, 10749, 10752]",1975-11-26,False
393729,Divines,fr,8,424,9.074,[18],2016-08-31,False
491480,The Boy Who Harnessed the Wind,en,8,555,18.762,[18],2019-03-01,False
7508,Like Stars on Earth,hi,8,485,11.828,[18],2007-12-21,False
146233,Prisoners,en,8,6740,29.839,"[80, 18, 53]",2013-09-18,False
508439,Onward,en,8,1138,120.091,"[12, 16, 35, 14, 10751]",2020-02-29,False
7857,Amarcord,it,8,527,10.42,"[35, 18]",1973-12-13,False
414419,Kill Bill: The Whole Bloody Affair,en,8,493,58.892,"[28, 80]",2011-03-28,False
10681,WALL·E,en,8,12418,38.865,"[16, 878, 10751]",2008-06-22,False
405,La Strada,it,8,493,9.637,[18],1954-07-16,False
381284,Hidden Figures,en,8,5613,29.742,"[18, 36]",2016-12-10,False
28178,Hachi: A Dog's Tale,en,8,4212,26.64,"[18, 10751]",2009-06-13,False
430424,See You Up There,fr,8,785,14.739,"[35, 80, 18, 10752]",2017-10-25,False
775,A Trip to the Moon,fr,8,867,16.066,"[12, 14, 878]",1902-09-01,False
1892,Return of the Jedi,en,8,9346,36.793,"[28, 12, 878]",1983-05-25,False
83564,La luna,en,8,448,10.328,"[16, 10751]",2012-02-10,False
24167,Two Women,it,8,217,9.51,"[18, 10752]",1960-12-23,False
213,North by Northwest,en,8,2247,20.652,"[9648, 53]",1959-07-08,False
315465,The Boy and the Beast,ja,8,775,13.923,"[16, 14]",2015-07-11,False
41050,La Notte,it,8,243,8.628,[18],1961-01-23,False
3112,The Night of the Hunter,en,8,800,11.385,"[80, 53]",1955-08-26,False
524,Casino,en,8,3070,24.083,[80],1995-11-22,False
5925,The Great Escape,en,8,1420,20.086,"[12, 18, 36, 53, 10752]",1963-06-20,False
334533,Captain Fantastic,en,8,4159,32.709,"[12, 35, 18]",2016-07-02,False
1091,The Thing,en,8,3675,28.675,"[27, 9648, 878]",1982-06-25,False
564427,Minha Vida em Marte,pt,8,207,5.872,"[35, 10749]",2018-12-27,False
106646,The Wolf of Wall Street,en,8,14697,38.219,"[35, 80, 18]",2013-12-25,False
1626,Vivre Sa Vie,fr,8,306,8.561,[18],1962-08-28,False
631,Sunrise: A Song of Two Humans,en,8,389,10.393,"[18, 10749]",1927-11-04,False
280,Terminator 2: Judgment Day,en,8,7820,39.186,"[28, 878, 53]",1991-07-03,False
505192,Shoplifters,ja,8,876,14.036,"[18, 80]",2018-06-02,False
31442,Ivan's Childhood,ru,8,294,9.222,"[18, 10752]",1962-05-05,False
60243,A Separation,fa,8,929,13.508,[18],2011-03-15,False
21334,Children of Heaven,fa,8,265,9.558,"[35, 18, 10751]",1997-08-01,False
586863,Les Misérables,fr,8,413,40.9,"[80, 18, 53]",2019-11-14,False
13223,Gran Torino,en,8,6832,24.242,[18],2008-12-09,False
293299,Feast,en,8,626,9.443,"[16, 35, 18, 10751]",2014-11-07,False
627,Trainspotting,en,8,6325,46.429,"[18, 80]",1996-02-23,False
11656,The Virgin Spring,sv,8,268,9.343,"[80, 18]",1960-02-08,False
