id,title,original_language,avg_vote,vote_count,popularity,genres,release_date
32480,The Marquis of Grillo,it,7.9,262,6.791,[35],1981-12-23
194,Amélie,fr,7.9,7308,32.883,"[35, 10749]",2001-04-25
11602,Through a Glass Darkly,sv,7.9,234,8.34,[18],1961-06-06
26022,My Name Is Khan,hi,7.9,517,12.821,"[18, 10749]",2010-02-11
348892,Bajrangi Bhaijaan,hi,7.9,260,10.575999999999999,"[28, 35, 18]",2015-07-17
398924,A Bag of Marbles,fr,7.9,532,9.283,[18],2017-01-18
391,A Fistful of Dollars,it,7.9,2244,23.315,[37],1964-09-12
505262,My Hero Academia: Two Heroes,ja,7.9,277,11.93,"[28, 12, 16, 35, 14]",2018-08-03
593,Solaris,ru,7.9,788,15.773,"[12, 18, 9648, 878]",1972-03-20
81,Nausicaä of the Valley of the Wind,ja,7.9,1784,31.425,"[12, 16, 14]",1984-03-11
934,Rififi,fr,7.9,213,9.336,"[28, 80, 18]",1955-04-13
451945,BPM (Beats per Minute),fr,7.9,907,9.725,[18],2017-08-23
144,Wings of Desire,de,7.9,589,12.058,"[18, 14, 10749]",1987-05-17
113,"Spring, Summer, Fall, Winter... and Spring",ko,7.9,554,17.945999999999998,[18],2003-09-19
242828,When Marnie Was There,ja,7.9,811,15.819,"[16, 18]",2014-07-19
499,Cléo from 5 to 7,fr,7.9,224,11.22,"[35, 18]",1962-04-11
37797,Whisper of the Heart,ja,7.9,807,19.396,"[16, 18, 10751]",1995-07-15
3870,1900,it,7.9,269,10.527000000000001,"[18, 36, 10749]",1976-09-01
5961,Fanny and Alexander,sv,7.9,346,11.978,"[18, 14, 9648]",1982-12-17
27670,Nothing Left to Do but Cry,it,7.9,636,8.912,[35],1984-12-20
8327,The Holy Mountain,es,7.9,412,11.862,[18],1973-05-01
16804,Departures,ja,7.9,379,7.877999999999999,[18],2008-09-13
488623,Forgotten,ko,7.9,255,12.023,"[18, 9648, 53]",2017-11-29
13398,Tokyo Godfathers,ja,7.8,434,10.652999999999999,"[16, 18]",2003-12-29
777,Grand Illusion,fr,7.8,305,11.718,"[18, 36, 10752]",1937-06-04
71157,Polisse,fr,7.8,766,7.511,[18],2011-10-06
10227,PlayTime,fr,7.8,225,8.765,[35],1967-12-16
1628,Jules and Jim,fr,7.8,444,12.978,"[18, 10749]",1962-01-23
203217,My Mom is a Character: The Film,pt,7.8,426,8.332,[35],2013-06-21
513434,One Cut of the Dead,ja,7.8,202,8.599,"[35, 27]",2017-11-04
12093,Lilya 4-ever,sv,7.8,274,10.344000000000001,"[80, 18]",2002-08-23
21135,L'Eclisse,it,7.8,202,9.502,"[18, 10749]",1962-04-12
25253,Crooks in Clover,fr,7.8,267,8.725,"[28, 35, 80]",1963-11-27
1280,3-Iron,ko,7.8,579,11.149000000000001,"[80, 18, 10749]",2004-10-15
613,Downfall,de,7.8,2093,17.303,"[18, 36, 10752]",2004-09-08
13855,The Chaser,ko,7.8,549,12.261,"[80, 18, 53]",2008-02-14
335578,Land of Mine,da,7.8,845,12.026,"[18, 36, 10752]",2015-12-03
49687,Marriage Italian Style,it,7.8,226,9.994,"[35, 18, 10749]",1964-12-18
9421,The Dinner Game,fr,7.8,1045,10.132,[35],1998-04-15
336,"Duck, You Sucker",it,7.8,511,14.030999999999999,[37],1971-10-20
108,Three Colors: Blue,fr,7.8,787,13.705,[18],1993-01-10
393559,My Life as a Zucchini,fr,7.8,732,8.88,"[16, 18, 10751]",2016-10-12
24657,The Sacrifice,sv,7.8,216,12.142999999999999,[18],1986-05-14
382591,Two Is a Family,fr,7.8,2230,14.192,"[35, 18]",2016-12-07
265195,Wild Tales,es,7.8,1823,15.924000000000001,"[35, 18, 53]",2014-08-21
16859,Kiki's Delivery Service,ja,7.8,1957,30.316999999999997,"[16, 12, 18, 14, 10751]",1989-07-29
2440,Joint Security Area,ko,7.8,270,11.71,"[10752, 18, 53, 28]",2000-09-09
