,imdb_id,updated_budget
183,tt0293715,
184,tt0376968,
185,tt0112913,
186,tt0473753,15000000.0
187,tt0275277,
188,tt0456912,
189,tt0401085,6500000.0
190,tt0353969,2800000.0
191,tt0243493,95130000.0
192,tt0208990,
193,tt0111543,
194,tt0373690,18070000.0
195,tt0104652,
196,tt0150662,9000000.0
197,tt0386005,80000000.0
198,tt0104029,2000000.0
199,tt0386064,12800000.0
200,tt0346336,
201,tt0424205,22000000.0
202,tt0108500,50000000.0
203,tt0286112,10000000.0
204,tt0104684,4500000.0
205,tt0364385,3500000.0
206,tt0271946,200000000.0
207,tt0114787,14000000.0
208,tt0300140,
209,tt0347246,2000000000.0
210,tt0926759,
211,tt0308379,
212,tt0111512,10000000.0
213,tt0416044,20000000.0
214,tt0425637,553632000.0
215,tt0265930,
216,tt0876563,34000000.0
217,tt0210234,30000000.0
218,tt0287635,
219,tt0312843,250000.0
220,tt0102164,
221,tt0381348,
222,tt0473829,14230000.0
223,tt1139797,4000000.0
224,tt0856288,3000000.0
225,tt0388473,
226,tt0443584,
227,tt0814685,3000000.0
228,tt1259014,
229,tt1130988,10000000.0
230,tt0455142,
231,tt0940709,
232,tt0953369,18000000.0
233,tt0450843,2700000.0
234,tt1190539,2650000.0
235,tt0808506,
236,tt1260502,
237,tt0480669,2600000.0
238,tt0107692,
239,tt0808339,24000000.0
240,tt1278340,800000.0
241,tt0354836,
242,tt1220719,11715578.0
243,tt0901487,10000000.0
244,tt0102587,
245,tt0109440,
246,tt0923811,
247,tt0464913,14000000.0
248,tt0804507,3500000.0
249,tt0110008,
250,tt1247640,12000000.0
251,tt0411272,21166000.0
252,tt0347618,
253,tt1326972,80000000.0
254,tt0259060,
255,tt1132620,13000000.0
256,tt1328642,
257,tt1167660,
258,tt1188988,10000000.0
259,tt1275590,
260,tt0216651,
261,tt0758742,20000000.0
262,tt0810827,20000000.0
263,tt0785035,300000000.0
264,tt0318034,
265,tt1069238,
266,tt0440803,
267,tt0412535,5340000.0
268,tt0328955,
269,tt0110200,
270,tt0386695,
271,tt0926762,3200000.0
272,tt0247586,1500000.0
